"source","target"
"Government of India","ഭാരത സർക്കാർ"
"Ministry of Health & Family Welfare","ആരോഗ്യ കുടുംബ ക്ഷേമ മന്ത്രാലയം"
"Directorate General of Health Services",""
"(EMR Division)",""
"Guidelines for home quarantine","ഭാവനക്വാറന്റീൻ നിർദ്ദേശങ്ങൾ"
"Scope","പരിധി"
"Detection of a travel related/unrelated suspect case of novel Coronavirus Disease (COVID-19) will be followed by rapid isolation of such cases in designated health facilities and line listing of all contacts of such cases.Home quarantine is applicable to all such contacts of a suspect or confirmed case of COVID-19.","കോവിഡ്-19 ബാധിച്ചു എന്ന് സംശയിക്കപ്പെടുന്നവരെ (വിദേശ യാത്ര മൂലമോ അല്ലാതെയോ) ഉടൻ നിർദ്ദിഷ്ട സ്ഥലങ്ങളിൽ ഐസൊലേഷനിൽ ആക്കുന്നതാണ്. അതോടൊപ്പം ഇവരുമായി ഇടപഴകിയവരുടെ പട്ടികയും തയ്യാറാക്കുകയും, അവരവരുടെ വീട്ടിൽ ക്വാറന്റീനിൽ ആക്കുകയും ചെയ്യും."
"This intervention will be limited to the initial phase of India reporting only (i) travel related cases and (ii) focal clusters arising from a travel related/unrelated case where cluster containment strategy is adopted (iii) Persons coming from COVID-19 affected areas where local and community transmission is evident.","മുൻപറഞ്ഞ നിർദ്ദേശങ്ങൾ താഴെ പറയുന്ന സാഹചര്യത്തിൽ മാത്രം നടപ്പിലാക്കും. 1) വിദേശ യാത്ര കഴിഞ്ഞെത്തിയവർ 2) പ്രദേശികകമായി കോവിഡ് ക്ലസ്റ്റർ രൂപപ്പെട്ടാൽ 3) കോവിഡ് പ്രാദേശികമായി പടരുന്ന സ്ഥലങ്ങളിൽ നിന്ന് എത്തുന്നവർ ഉണ്ടെങ്കിൽ."
"Definition of contact","എന്താണ് ""കോണ്ടാക്കറ്റ്"""
"A contact is defined as ahealthyperson that has been in such association with an infected person or a contaminated environment as to have exposed and is therefore at a higher risk of developing disease.","രോഗ ബാധ ഉള്ളവരുമായി ഇടപഴകിയ, അല്ലെങ്കിൽ രോഗം പടരുന്ന ഇടത്ത് സമയം ചിലവിട്ടത്തിനാൽ രോഗ ബാധ വരാൻ കൂടുതൽ സാധ്യത ഉള്ള ആരോഗ്യവാനായ അൾ."
"A contact in the context of COVID-19 is:","കോവിഡ് മഹാമാരിയുടെ പശ്ചാത്തലത്തിൽ കോണ്ടാക്ട് എന്നാൽ എന്ത്:"
"- A person living in the same household as a COVID-19 case;","കോവിഡ് രോഗബാധിതന്റെ വീട്ടിലുള്ളവർ;"
"- A person having had direct physical contact with a COVID-19 case or his/her infectious secretions without recommended personal protective equipment (PPE) or with a possible breach of PPE","രോഗബാധിതനുമായോ അയാളുടെ സ്രവങ്ങളുമായോ സ്വയപരിരക്ഷാ കവചം ഇല്ലാതെയോ, കവച്ചത്തിന്റെ പാളിച്ച കാരണമോ നേരിട്ട് ബന്ധം വന്നയാൾ"
"- A person who was in a closed environment or had face to face contact with a COVID-19 case at a distance of withinlmetre including air travel","കോവിഡ് രോഗബാധിതനുമായി നേരിട്ടോ തിരക്കുള്ളയിടത്ത് 1 മീറ്റർ അകലം ഇല്ലാതെയോ ബന്ധപ്പെട്ടയാൾ"
"The epidemiological link may have occurred within a 14-day period before the onset of illness in the case under consideration.",""
"Instructions for contacts being home quarantined","ഭാവനക്വാറന്റീനിലുള്ളവർക്കുള്ള നിർദ്ദേശങ്ങൾ"
"The home quarantined person should:","ഭവനക്വാറന്റീനിലുള്ളവർ താഴെ പറയുന്നവ ചെയ്യുക:"
"Stay in a well-ventilated single-room preferably with an attached/separate toilet. If another family member needs to stay in the same room","വായുസഞ്ചാരമുള്ള കുളിമുറിയുള്ള മുറിയിൽ താമസിക്കുക. മറ്റൊരു കുടുംബാഗത്തിന് അതേ മുറിയിൽ നിൽക്കണമെങ്കിൽ"
"- Needs to stay away from elderly people","വയോധികരുമായി സമ്പർക്കം പാടില്ല"
"- Restrict his’/her movement within the house.","വീട്ടനുള്ളിൽ ഒതുങ്ങിക്കൂടുക."
"- Under no circumstances attend any social/religious gathering e.g. wedding",""
"He should also follow the under mentioned public health measures at all times:",""
"- Wash hand as often thoroughly with soap and water or with alcohol-based hand sanitizer",""
"- Avoid sharing household items e.g. dishes",""
"- Wear a surgical mask at all the time. The mask should be changed every 6-8 hours and disposed off.Disposable masks are never to be reused.",""
"- Masks used by patients / care givers/ close contacts during home care should be disinfected using ordinary bleach solution (5%) or sodium hypochlorite solution (1%) and then disposed of either by burning or deep burial.",""
"- Used mask should be considered as potentially infected.",""
"- If symptoms appear (cough/fever/difficulty in breathing)",""
"- Instructions for the family members of persons being home quarantined",""
"- Only an assigned family member should be tasked with taking care of the such person",""
"- Avoid shaking the soiled linen or direct contact with skin",""
"- Use disposable gloves when cleaning the surfaces or handling soiled linen",""
"- Wash hands after removing gloves",""
"- Visitors should not be allowed",""
"- In case the person being quarantined becomes symptomatic",""
"Environmental sanitation",""
"a) Clean and disinfect frequently touched surfaces in the quarantined person’s room (e.g. bed frames",""
"b) Clean and disinfect toilet surfaces daily with regular household bleach solution/phenolic disinfectants",""
"c) Clean the clothes and other linen used by the person separately using common household detergent and dry.",""
"Duration of home quarantine",""
"a) The home quarantine period is for 14 days from contact with a confirmed case or earlier if a suspect case (of whom the index person is a contact) turns out negative on laboratory testing",""
